epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,441.911,0.73282,0.85444,1.36102,0.87315,0,0.77282,0.66199,0.74723,0.58542,0.76891,0.66002,0.74131,0.53078,0.82317,1.84984,1.33062,0.92571,0,0.000415609,0.000415609,0.000415609
2,880.476,0.76325,0.86549,0.86528,0.8879,0,0.854,0.85112,0.89684,0.72049,0.85558,0.85299,0.90261,0.68579,0.74392,0.77661,0.75772,0.87438,0,0.000824036,0.000824036,0.000824036
3,1315.85,0.72315,0.81263,0.76046,0.87587,0,0.85937,0.9233,0.92681,0.75895,0.85937,0.9233,0.92934,0.72002,0.70372,0.78824,0.66285,0.85379,0,0.00122421,0.00122421,0.00122421
4,1753.43,0.66733,0.76086,0.63578,0.85738,0,0.93137,0.92908,0.94619,0.81211,0.93137,0.92908,0.94619,0.74668,0.61183,0.6962,0.55226,0.83041,0,0.00121287,0.00121287,0.00121287
5,2192.64,0.60571,0.7185,0.55006,0.84142,0,0.91648,0.93851,0.97677,0.86264,0.91648,0.93851,0.97671,0.78046,0.52687,0.61269,0.5032,0.82142,0,0.0012005,0.0012005,0.0012005
6,2632.56,0.57797,0.69408,0.51317,0.83284,0,0.9574,0.97422,0.98868,0.87344,0.9574,0.97422,0.98868,0.80016,0.53028,0.66215,0.42134,0.81877,0,0.00118812,0.00118812,0.00118812
7,3073.79,0.54875,0.66652,0.45438,0.82897,0,0.92486,0.92781,0.96807,0.86465,0.92486,0.92781,0.96807,0.79225,0.49533,0.56196,0.4887,0.80573,0,0.00117575,0.00117575,0.00117575
8,3508.28,0.52894,0.65815,0.45356,0.82279,0,0.98884,0.9904,0.99343,0.89596,0.99111,0.99272,0.99346,0.79401,0.47527,0.60164,0.37318,0.80973,0,0.00116337,0.00116337,0.00116337
9,3942.42,0.50588,0.6422,0.4247,0.81833,0,0.97799,0.97331,0.99239,0.88659,0.97799,0.97331,0.99239,0.81232,0.50051,0.58778,0.37645,0.81084,0,0.001151,0.001151,0.001151
10,4382.28,0.49048,0.62729,0.40483,0.81558,0,0.98076,0.98529,0.99344,0.90143,0.98076,0.98529,0.99344,0.80618,0.46264,0.53532,0.34163,0.80181,0,0.00113863,0.00113863,0.00113863
11,4816.87,0.48105,0.61832,0.39118,0.81051,0,0.98442,0.99126,0.99345,0.90877,0.98442,0.99126,0.99345,0.83171,0.44136,0.53974,0.33837,0.80086,0,0.00112625,0.00112625,0.00112625
