epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,273.211,0.64452,0.7108,2.93636,0.82631,0,0.7528,0.75515,0.81724,0.6826,0.75436,0.75286,0.81772,0.65124,0.64217,0.60465,1.98625,0.82425,0,0.00041445,0.00041445,0.00041445
2,511.064,0.62876,0.6196,1.56405,0.83099,0,0.91243,0.92824,0.96204,0.83535,0.91243,0.92824,0.96204,0.79386,0.55961,0.53183,0.98179,0.81215,0,0.000822889,0.000822889,0.000822889
3,744.732,0.62481,0.60146,1.06792,0.82593,0,0.77829,0.81709,0.90029,0.75985,0.78154,0.81546,0.90037,0.74258,0.60168,0.5953,1.1616,0.81367,0,0.00122308,0.00122308,0.00122308
4,979.678,0.59032,0.57382,0.80426,0.82728,0,0.82839,0.8867,0.93649,0.8137,0.82839,0.8867,0.93633,0.76976,0.54646,0.51052,0.79818,0.80877,0,0.00121287,0.00121287,0.00121287
5,1215.35,0.54627,0.56636,0.69883,0.814,0,0.91204,0.9285,0.95259,0.85054,0.91204,0.9285,0.95287,0.79906,0.48871,0.51889,0.64705,0.80263,0,0.0012005,0.0012005,0.0012005
6,1453.41,0.51471,0.53804,0.59088,0.81463,0,0.93406,0.94352,0.98057,0.8654,0.93354,0.94296,0.98042,0.8223,0.50859,0.51622,0.52946,0.80481,0,0.00118812,0.00118812,0.00118812
7,1692.47,0.5254,0.534,0.56784,0.81228,0,0.97058,0.96129,0.98539,0.88945,0.97006,0.96114,0.98534,0.8279,0.46521,0.4786,0.45777,0.7984,0,0.00117575,0.00117575,0.00117575
8,1933.22,0.48982,0.53144,0.4926,0.80427,0,0.98403,0.98825,0.99177,0.91111,0.98403,0.98825,0.99177,0.83437,0.4285,0.47598,0.38876,0.79245,0,0.00116337,0.00116337,0.00116337
9,2174.76,0.46923,0.52408,0.46857,0.80343,0,0.98594,0.98516,0.98931,0.89527,0.98594,0.98516,0.98931,0.84141,0.4562,0.46665,0.39937,0.79892,0,0.001151,0.001151,0.001151
10,2410.87,0.46581,0.50094,0.45138,0.80507,0,0.98639,0.98458,0.99154,0.9155,0.98639,0.98458,0.99154,0.83618,0.42218,0.46364,0.36911,0.79123,0,0.00113863,0.00113863,0.00113863
11,2639.99,0.44925,0.49918,0.42069,0.80245,0,0.99395,0.99522,0.99224,0.92005,0.99367,0.99494,0.99223,0.83112,0.41388,0.46211,0.34825,0.79008,0,0.00112625,0.00112625,0.00112625
12,2869.94,0.44183,0.50968,0.44437,0.79937,0,0.98992,0.98997,0.99238,0.91669,0.98992,0.98997,0.99238,0.84055,0.41966,0.44679,0.35182,0.79093,0,0.00111388,0.00111388,0.00111388
13,3097.96,0.43224,0.49233,0.40418,0.79749,0,0.98972,0.99401,0.99208,0.92157,0.98972,0.99401,0.99208,0.85122,0.41098,0.45698,0.32787,0.78862,0,0.0011015,0.0011015,0.0011015
14,3323.78,0.42272,0.47877,0.41292,0.797,0,0.99583,0.99416,0.99323,0.92408,0.99583,0.99416,0.99323,0.84833,0.40221,0.4541,0.32908,0.7882,0,0.00108913,0.00108913,0.00108913
15,3546.01,0.42027,0.49222,0.38963,0.79593,0,0.98957,0.98312,0.99253,0.93154,0.98957,0.98312,0.99253,0.83844,0.37732,0.45776,0.32513,0.78801,0,0.00107675,0.00107675,0.00107675
16,3768.15,0.41156,0.48363,0.3863,0.7994,0,0.99624,0.99695,0.99319,0.93262,0.99624,0.99695,0.99319,0.84394,0.37592,0.45259,0.31818,0.7868,0,0.00106437,0.00106437,0.00106437
17,4000.46,0.41188,0.48218,0.39402,0.79636,0,0.99543,0.99407,0.99335,0.9339,0.99543,0.99407,0.99335,0.85215,0.37447,0.43013,0.31518,0.78786,0,0.001052,0.001052,0.001052
18,4231.45,0.4027,0.47724,0.36253,0.79555,0,0.99368,0.99621,0.99302,0.94266,0.99368,0.99621,0.99302,0.85503,0.36643,0.41889,0.30701,0.78674,0,0.00103962,0.00103962,0.00103962
19,4460.63,0.39172,0.45811,0.35733,0.79179,0,0.99423,0.99419,0.99351,0.93821,0.99423,0.99419,0.99351,0.85205,0.36209,0.42969,0.2969,0.78484,0,0.00102725,0.00102725,0.00102725
20,4691.72,0.38853,0.46668,0.33971,0.79357,0,0.99611,0.99746,0.99301,0.93931,0.99611,0.99746,0.99301,0.86176,0.36011,0.42459,0.28811,0.78507,0,0.00101488,0.00101488,0.00101488
21,4920.22,0.39335,0.46279,0.3552,0.79324,0,0.99221,0.99539,0.99201,0.9383,0.99194,0.99511,0.99201,0.84471,0.36337,0.42663,0.29668,0.78553,0,0.0010025,0.0010025,0.0010025
22,5149.87,0.3896,0.46435,0.35486,0.79448,0,0.99637,0.99564,0.99307,0.94613,0.99609,0.99536,0.99307,0.85595,0.34591,0.41925,0.28086,0.78289,0,0.000990125,0.000990125,0.000990125
23,5378.18,0.37667,0.46052,0.33952,0.79361,0,0.9908,0.99332,0.99252,0.94669,0.99052,0.99304,0.99251,0.84551,0.33879,0.42487,0.27743,0.78301,0,0.00097775,0.00097775,0.00097775
24,5607.36,0.38541,0.47025,0.34711,0.79144,0,0.98956,0.99153,0.99139,0.94729,0.98929,0.99125,0.99139,0.85355,0.33361,0.41783,0.28084,0.78396,0,0.000965375,0.000965375,0.000965375
25,5833.86,0.37212,0.46249,0.33312,0.7941,0,0.98488,0.97441,0.98952,0.94481,0.98488,0.97441,0.98952,0.84136,0.33839,0.43521,0.3134,0.78327,0,0.000953,0.000953,0.000953
26,6065.61,0.36828,0.44963,0.33408,0.79065,0,0.99518,0.9961,0.9927,0.94961,0.99546,0.99638,0.9927,0.8597,0.33359,0.40859,0.27144,0.78141,0,0.000940625,0.000940625,0.000940625
